Timestamp,Student ID,I am happy all the time.,I find beauty in small things.,I am always committed and involved.,I can sleep well as usual.,"I don't feel nervous, anxious or on edge.",I don't become easily annoyed or irritable.,I feel encouraged about the future.,I don't worry constantly about different things.,I don't get tired easily.,I don't feel like a failure.,Score
4/20/2021 18:23:28,23,4,3,3,5,5,4,2,5,2,7,40
4/20/2021 18:23:46,50,4,8,3,7,4,4,9,10,4,2,55
4/20/2021 18:23:54,24,8,3,9,2,3,5,3,4,3,7,47
4/20/2021 18:24:20,51,8,2,8,4,10,6,9,3,9,2,61
4/20/2021 18:24:48,25,4,4,6,8,7,7,6,4,6,8,60
4/20/2021 18:25:02,52,3,7,4,5,2,7,3,5,3,7,46
4/20/2021 18:25:16,26,3,6,7,7,6,3,6,6,5,8,57
4/20/2021 18:25:43,27,6,5,6,8,8,8,9,7,4,6,67
4/20/2021 18:25:48,53,3,6,5,7,4,5,3,7,5,4,49
4/20/2021 18:26:27,54,3,9,7,10,3,8,6,3,5,8,62
4/20/2021 18:26:28,28,7,4,7,3,8,4,5,4,6,7,55
4/20/2021 18:26:50,29,1,1,1,1,1,1,1,1,1,1,10
4/20/2021 18:27:07,55,9,1,9,7,4,10,1,8,1,9,59
4/20/2021 18:27:12,71,6,1,3,2,1,3,4,1,4,1,26
4/20/2021 18:27:13,30,6,2,7,3,6,4,3,6,3,6,46
4/20/2021 18:27:41,72,6,2,10,10,3,6,2,6,1,7,53
4/20/2021 18:27:55,61,6,8,4,7,4,9,5,7,4,8,62
4/20/2021 18:28:00,56,9,3,2,1,8,4,1,8,3,9,48
4/20/2021 18:28:11,73,2,4,1,6,1,5,10,7,6,9,51
4/20/2021 18:28:11,62,2,5,4,5,2,9,5,6,4,7,49
4/20/2021 18:28:37,63,6,5,6,9,6,7,5,8,4,7,63
4/20/2021 18:28:52,57,2,2,2,2,2,2,2,2,2,2,20
4/20/2021 18:28:56,64,5,7,4,8,4,8,4,9,4,7,60
4/20/2021 18:29:07,74,9,8,10,7,9,5,7,5,3,7,70
4/20/2021 18:29:21,65,3,4,5,7,4,5,4,5,6,8,51
4/20/2021 18:29:41,66,9,7,8,6,9,7,8,7,8,7,76
4/20/2021 18:29:45,58,8,1,8,10,2,7,1,10,4,9,60
4/20/2021 18:29:59,75,5,2,6,3,7,5,3,8,3,1,43
4/20/2021 18:30:04,67,9,8,10,8,10,9,9,8,9,10,90
4/20/2021 18:30:25,76,4,8,3,6,3,2,2,1,3,1,33
4/20/2021 18:30:27,68,6,4,6,5,7,6,7,4,7,9,61
4/20/2021 18:30:44,59,8,4,10,4,10,2,8,3,8,2,59
4/20/2021 18:30:47,69,8,9,3,7,3,7,3,6,3,5,54
4/20/2021 18:31:07,70,8,4,7,2,4,2,4,3,6,8,48
4/20/2021 18:31:09,77,6,4,7,9,4,2,6,4,1,4,47
4/20/2021 18:31:37,60,6,8,2,6,9,2,3,7,10,3,56
4/20/2021 18:31:48,78,7,5,7,3,5,9,2,3,1,4,46
4/20/2021 18:36:01,79,1,3,3,7,2,1,6,8,4,10,45
4/20/2021 18:36:38,80,10,6,9,7,6,3,4,7,9,10,71
4/20/2021 18:37:22,81,3,1,4,1,7,2,3,1,4,3,29
4/20/2021 18:38:02,82,9,6,5,8,5,2,4,6,3,9,57
4/20/2021 18:38:43,83,6,8,5,10,4,7,2,3,1,7,53
4/20/2021 18:39:25,84,8,5,7,3,9,7,6,3,2,7,57
4/20/2021 18:40:01,85,8,10,10,9,8,6,9,5,4,9,78
4/20/2021 18:40:34,86,8,10,7,6,5,5,5,5,8,9,68
4/20/2021 18:41:10,87,8,6,9,3,8,4,3,1,3,4,49
4/20/2021 18:41:39,88,1,6,4,8,4,6,3,9,2,6,49
4/20/2021 18:42:17,89,5,9,4,8,2,4,1,2,8,3,46
4/20/2021 18:43:01,90,7,5,4,6,3,8,3,10,10,5,61
4/20/2021 18:43:30,91,9,5,7,3,9,4,2,6,1,5,51
4/20/2021 18:44:02,92,1,5,3,4,2,3,6,9,5,5,43
4/20/2021 18:44:33,93,7,4,8,3,7,5,3,7,2,2,48
4/20/2021 18:45:03,94,8,6,4,2,7,8,7,5,3,6,56
4/20/2021 18:45:28,95,9,4,2,5,3,7,2,8,9,2,51
4/20/2021 18:46:03,96,5,3,6,8,3,8,6,4,6,3,52
4/20/2021 18:46:28,97,4,8,6,4,7,5,2,9,1,10,56
4/20/2021 18:47:04,98,6,3,8,3,9,2,7,3,9,2,52
4/20/2021 18:47:38,99,8,3,6,2,5,9,5,2,1,5,46
4/20/2021 18:48:06,100,8,5,9,7,5,4,8,6,5,4,61
